description,has_short_company_profile,company_profile,requirements,benefits,has_company_logo,low_required_education,has_questions,telecommuting,has_short_requirements,money_in_title,money_in_desc,cons_punc_des,fraudulent
119,0,137,136,55,1,0,0,0,0,0,0,0,0
91,1,1,38,1,0,0,0,1,0,0,1,0,1
165,0,54,38,1,1,1,0,0,0,0,1,0,0
73,1,1,19,97,0,0,0,0,0,0,1,0,1
156,0,88,151,1,1,1,0,0,0,0,0,0,0
346,1,1,80,1,1,0,0,0,0,0,0,0,0
185,1,1,267,1,0,0,1,0,0,0,0,0,1
227,0,72,183,208,1,0,0,0,0,0,1,0,0
137,0,93,76,34,1,1,1,0,0,0,0,0,1
258,0,180,123,8,1,0,0,1,0,0,0,0,0
76,1,1,1,1,0,0,0,0,1,0,0,0,0
265,0,158,134,127,1,0,1,1,0,0,0,0,0
325,1,1,202,61,0,0,0,0,0,0,0,0,0
284,1,1,154,1,0,0,0,0,0,0,0,0,1
532,0,20,329,44,1,0,1,0,0,0,0,0,0
197,0,104,1,1,1,0,1,0,1,0,0,0,0
128,0,136,14,8,1,1,1,0,0,0,0,0,0
130,1,1,1,1,0,0,0,0,1,0,0,0,1
144,1,1,70,169,0,0,1,0,0,0,0,0,0
97,0,86,68,53,1,1,0,0,0,1,0,0,1
230,0,44,1,1,1,0,0,0,1,0,0,0,1
97,0,86,68,77,1,1,0,0,0,1,0,0,1
209,0,155,108,151,1,0,1,0,0,0,0,0,0
110,0,18,26,9,1,0,1,0,0,0,1,0,0
417,1,1,40,48,0,0,1,0,0,0,0,1,1
1057,1,1,103,1,0,0,0,0,0,0,0,0,1
97,1,1,39,116,0,0,0,0,0,1,1,0,1
773,0,250,1,1,1,0,1,0,1,0,0,0,0
417,1,1,40,48,0,0,1,0,0,0,0,1,1
216,1,1,107,1,0,0,0,0,0,0,0,0,0
124,1,1,104,8,0,0,0,0,0,0,0,0,1
178,0,93,203,306,1,0,0,0,0,0,0,0,0
221,0,46,118,1,1,0,0,0,0,0,0,0,1
107,1,1,66,47,0,1,0,0,0,0,0,0,1
238,0,30,1,1,0,0,0,0,1,0,0,0,0
220,0,93,185,49,1,1,1,0,0,0,0,0,1
73,1,1,19,97,0,0,0,0,0,0,1,0,1
58,0,185,251,154,1,0,1,0,0,0,0,0,1
169,0,41,216,56,1,0,1,0,0,0,0,0,0
387,0,46,125,34,1,0,0,0,0,0,0,0,1
95,0,41,53,20,1,0,0,0,0,0,0,0,1
296,0,88,184,1,1,1,0,0,0,0,0,0,0
127,1,1,59,101,0,1,0,0,0,0,0,0,1
210,0,94,54,38,1,1,1,0,0,0,0,0,1
76,1,1,14,14,0,0,0,0,0,0,1,0,1
130,0,17,9,1,1,0,0,0,1,0,1,0,1
59,0,35,148,181,1,0,0,0,0,0,0,0,0
184,0,62,112,1,1,0,0,0,0,0,0,0,0
65,1,1,19,20,0,0,0,0,0,0,1,0,1
172,0,93,126,30,1,1,1,0,0,0,0,0,1
257,1,1,1,1,0,0,0,0,1,0,0,0,0
163,0,279,79,1,1,0,0,0,0,0,0,0,0
158,1,1,129,1,0,0,1,0,0,0,0,0,0
73,1,1,19,97,0,0,0,0,0,0,1,0,1
108,0,86,95,78,1,1,0,0,0,1,0,0,1
93,1,1,179,54,0,0,0,0,0,0,0,0,0
70,1,1,63,10,0,0,1,0,0,0,0,0,0
59,1,1,93,96,0,0,0,0,0,0,0,0,1
278,1,9,1,1,1,0,0,0,1,0,0,1,0
58,0,185,251,154,1,0,1,0,0,0,0,0,1
363,1,1,1,1,0,0,0,0,1,0,0,0,1
65,1,1,9,1,0,0,0,0,1,0,0,0,1
65,1,1,19,25,0,0,0,0,0,0,1,0,1
594,0,213,172,120,1,0,1,0,0,0,0,0,0
105,0,136,10,8,1,1,1,0,0,0,0,0,0
97,1,1,39,129,0,0,0,0,0,1,1,0,1
52,0,136,21,8,1,1,1,0,0,0,0,0,0
48,0,82,40,1,1,0,1,1,0,0,1,0,1
299,0,41,328,66,1,0,0,0,0,0,0,0,0
341,1,1,1,1,0,0,0,0,1,0,0,0,1
427,1,1,1,1,0,0,0,0,1,0,0,0,1
49,0,136,21,8,1,1,1,0,0,0,0,0,0
87,0,36,26,13,1,0,0,0,0,0,0,0,0
96,0,202,283,138,1,0,1,0,0,0,0,0,0
256,0,121,192,45,1,0,1,0,0,0,0,0,0
221,0,82,118,29,1,0,1,1,0,0,1,0,1
215,0,361,123,1,1,0,1,0,0,0,0,0,1
162,1,1,1,1,0,0,0,0,1,0,0,1,0
351,0,441,88,115,1,0,1,0,0,0,1,0,0
374,0,30,191,1,0,0,0,0,0,0,0,0,0
134,0,69,193,84,1,0,1,1,0,0,0,0,0
249,0,83,321,105,1,0,1,0,0,0,0,0,0
91,1,1,38,1,0,0,0,1,0,0,1,0,1
269,0,53,215,115,1,0,1,0,0,0,0,1,0
92,0,18,41,9,1,0,1,0,0,0,1,0,0
70,0,82,21,1,1,0,0,0,0,0,1,0,1
123,1,1,117,19,0,0,0,0,0,0,0,0,1
30,0,43,311,1,1,1,0,0,0,0,0,0,1
393,0,183,42,85,1,0,1,0,0,0,0,0,0
124,0,18,40,9,1,0,1,0,0,0,1,0,0
481,0,361,206,246,1,1,1,0,0,0,0,0,1
174,0,381,197,317,1,0,1,0,0,0,0,0,1
285,0,84,28,118,1,0,0,0,0,0,0,0,0
219,1,1,1,1,0,0,0,0,1,0,0,0,1
19,1,1,28,1,1,0,0,0,0,0,0,0,0
123,0,136,48,37,1,0,0,0,0,0,0,0,0
59,1,1,59,98,0,1,0,0,0,0,0,0,1
299,0,46,42,1,1,0,0,0,0,0,0,0,1
95,0,41,53,20,1,0,0,0,0,0,0,0,1
164,0,153,207,33,1,0,1,1,0,0,0,0,0
22,0,100,35,22,1,1,0,1,0,0,0,0,1
156,1,1,115,11,0,0,1,0,0,0,0,0,0
204,0,143,251,64,1,0,1,0,0,0,0,0,0
97,0,86,68,68,1,1,0,0,0,1,0,0,1
110,0,18,26,9,1,0,1,0,0,0,1,0,0
271,0,92,114,1,1,0,0,0,0,0,0,0,0
205,0,30,1,1,0,0,0,0,1,0,0,0,0
440,0,144,153,144,1,0,0,0,0,0,0,0,0
722,0,361,517,1,1,0,1,0,0,0,0,0,1
381,0,139,92,80,1,0,1,0,0,0,0,0,0
286,0,88,121,1,1,1,0,0,0,0,0,0,0
19,0,125,14,1,1,0,1,0,0,0,0,0,0
138,0,184,1,1,1,0,0,0,1,0,0,0,0
130,0,66,112,1,1,0,1,0,0,0,0,0,0
54,1,1,268,1,0,0,0,0,0,0,0,0,1
37,0,152,86,1,1,0,0,0,0,0,0,0,0
37,1,1,26,24,0,1,0,0,0,0,0,0,0
247,1,1,161,111,0,0,1,0,0,0,0,0,0
89,0,79,300,119,1,1,1,0,0,0,0,0,0
118,0,136,19,8,1,1,1,0,0,0,0,0,0
244,1,1,36,144,0,0,0,0,0,0,1,0,1
179,0,59,56,1,1,1,0,0,0,0,0,0,0
236,0,151,66,1,1,0,0,0,0,0,0,0,0
341,1,1,1,1,0,0,0,0,1,0,0,0,1
233,1,1,194,81,0,0,1,0,0,0,0,0,0
32,1,1,10,10,0,0,0,0,0,0,0,0,1
329,1,1,1,1,0,0,0,0,1,0,0,0,1
106,1,1,82,57,0,0,0,0,0,0,0,0,1
98,0,55,1,1,1,0,0,0,1,0,0,0,0
113,0,46,79,47,1,0,1,0,0,0,0,0,0
24,0,82,24,1,1,0,0,0,0,0,1,0,1
194,0,30,1,1,0,0,0,0,1,0,0,0,0
130,1,1,1,1,0,0,0,0,1,0,0,0,1
226,0,26,112,1,1,0,0,0,0,0,0,0,0
78,0,152,60,1,1,0,0,0,0,0,0,0,0
238,0,142,148,10,1,0,1,0,0,0,0,0,0
80,1,1,40,1,0,0,0,0,0,0,0,0,1
33,1,1,1,1,0,0,0,0,1,0,0,0,1
118,0,184,1,1,1,0,0,0,1,0,0,0,0
21,1,1,1,1,0,0,1,0,1,0,0,0,1
263,0,61,307,94,1,0,1,0,0,0,0,0,0
44,1,1,78,52,0,0,1,0,0,0,0,0,1
57,0,136,14,8,1,1,1,0,0,0,0,0,0
129,0,136,21,8,1,1,1,0,0,0,0,0,0
190,1,1,95,18,0,0,1,0,0,0,0,0,0
7,1,1,7,7,0,0,0,0,1,0,0,0,1
8,1,1,8,8,0,0,0,0,1,0,0,0,1
208,0,104,141,162,1,0,1,0,0,0,0,0,0
63,1,1,11,1,0,0,0,0,0,0,1,0,1
164,0,231,76,1,1,0,1,0,0,0,0,0,0
16,1,1,15,15,0,0,1,0,0,0,0,0,0
96,1,1,155,28,0,0,0,0,0,0,0,0,1
153,0,93,68,9,1,1,1,0,0,0,0,0,1
91,1,1,38,1,0,0,0,1,0,0,1,0,1
196,0,361,139,1,1,0,1,0,0,0,0,0,1
219,1,1,1,1,0,0,0,0,1,0,0,0,1
162,1,1,49,1,1,0,1,0,0,0,0,0,0
84,1,1,8,1,0,0,0,0,1,0,1,0,1
104,1,1,135,1,1,0,1,1,0,0,0,0,0
237,0,30,1,1,0,0,0,0,1,0,0,0,0
331,1,1,470,1,0,0,1,0,0,0,0,1,1
310,0,183,73,112,1,0,0,0,0,0,0,0,0
439,1,1,1,1,0,0,0,0,1,0,0,0,1
599,0,118,1,1,1,0,0,0,1,0,1,0,0
33,1,1,1,1,0,0,0,0,1,0,0,0,1
96,1,1,155,28,0,0,0,0,0,0,0,0,1
73,1,1,19,97,0,0,0,0,0,0,1,0,1
70,0,186,1,1,1,0,0,1,1,0,0,0,0
170,0,128,143,1,1,0,0,0,0,0,0,0,0
474,0,88,106,1,1,0,0,0,0,0,1,0,0
150,1,1,51,63,0,0,1,0,0,0,0,0,0
98,1,1,54,81,0,0,0,0,0,0,0,0,1
121,0,136,1,1,1,0,0,0,1,0,0,0,0
201,0,142,164,1,1,0,0,0,0,0,0,0,0
212,0,126,58,131,1,0,1,0,0,0,0,0,0
278,0,55,65,86,1,0,1,0,0,0,0,0,0
193,0,32,162,113,1,0,0,0,0,0,0,0,0
32,1,1,111,1,1,0,1,0,0,0,0,0,0
100,0,18,40,9,1,0,1,0,0,0,1,0,0
129,0,56,74,1,1,0,0,0,0,0,1,0,0
19,1,1,134,82,0,0,0,0,0,0,0,0,1
406,0,142,230,1,1,0,1,0,0,0,0,0,0
455,0,55,59,1,1,0,0,0,0,0,1,0,0
384,1,1,99,87,0,0,0,0,0,0,0,0,0
110,0,57,84,36,0,1,0,0,0,0,0,0,1
427,1,1,1,1,0,0,0,0,1,0,0,0,1
352,1,1,1,1,0,0,0,0,1,0,0,0,1
124,0,137,86,31,0,1,0,0,0,0,0,0,1
98,1,1,47,47,0,1,0,0,0,0,0,0,1
117,0,85,96,1,1,1,0,0,0,0,0,0,0
97,1,1,39,116,0,0,0,0,0,1,1,0,1
153,0,84,93,27,1,0,0,1,0,0,0,0,0
317,0,129,86,1,1,0,0,0,0,0,1,0,0
77,0,126,194,55,1,0,1,0,0,0,0,0,0
73,0,28,1,20,1,0,1,0,1,0,0,1,0
387,0,46,43,37,1,0,0,0,0,0,0,0,1
173,0,70,533,42,1,0,0,0,0,0,0,0,0
130,1,1,116,1,0,1,0,0,0,0,0,0,1
157,1,1,101,54,0,0,0,0,0,0,1,0,1
41,1,1,109,1,1,0,0,0,0,0,0,0,0
127,1,1,61,1,0,0,0,0,0,0,0,0,1
152,1,1,1,1,0,0,0,0,1,0,0,0,1
222,0,112,185,1,1,0,1,0,0,0,0,0,0
60,1,1,47,1,0,0,0,0,0,0,0,0,1
49,0,48,272,1,1,0,1,0,0,0,0,0,0
341,0,61,293,1,1,0,1,0,0,0,0,0,0
403,1,1,1003,23,0,0,0,0,0,0,0,0,0
151,0,107,132,1,1,0,0,0,0,0,0,0,1
97,1,1,39,129,0,0,0,0,0,1,1,0,1
262,0,361,172,256,1,0,1,0,0,0,0,0,1
417,1,1,40,48,0,0,1,0,0,0,0,1,1
110,0,18,26,9,1,0,1,0,0,0,1,0,0
64,0,161,374,14,1,0,1,0,0,0,0,0,0
74,1,1,114,32,0,0,0,0,0,0,0,0,1
97,1,1,39,78,0,0,0,0,0,1,1,0,1
106,1,1,240,44,0,0,0,0,0,1,0,0,1
741,0,204,1,1,1,0,0,0,1,0,0,0,0
148,0,362,96,1,1,0,0,0,0,0,0,0,0
215,1,1,90,17,0,0,1,1,0,0,0,0,1
287,0,143,169,68,1,0,1,0,0,0,0,0,0
59,1,1,59,98,0,1,0,0,0,0,0,0,1
169,0,93,234,122,1,1,1,0,0,0,0,0,1
446,1,1,1,1,0,0,0,0,1,0,1,0,1
419,1,1,40,48,0,0,1,0,0,0,0,1,1
155,1,1,45,34,0,0,1,0,0,0,0,0,1
72,0,30,285,1,0,0,0,0,0,0,0,0,0
375,0,81,84,1,1,0,1,0,0,0,0,0,0
454,0,46,158,34,1,0,0,0,0,0,0,0,1
170,1,1,49,1,0,1,1,0,0,0,0,0,1
38,1,1,24,80,0,0,0,0,0,0,0,0,0
123,1,1,117,19,0,0,0,0,0,0,0,0,1
430,0,104,1,1,1,0,0,0,1,0,0,0,0
198,0,147,137,94,1,0,1,1,0,0,0,1,0
334,1,1,31,37,0,0,0,0,0,0,0,0,1
467,1,1,1,50,0,1,0,0,1,0,0,0,0
298,1,1,108,169,0,0,0,0,0,0,0,0,0
981,1,1,42,164,0,0,0,1,0,0,0,0,0
87,1,1,76,1,1,0,0,0,0,0,0,0,0
178,0,192,183,392,1,0,1,0,0,0,0,0,0
398,0,162,63,101,1,0,1,0,0,0,0,0,0
523,0,353,182,80,1,0,0,0,0,0,1,0,0
352,0,107,126,45,1,1,1,0,0,0,0,0,1
142,0,361,18,10,1,0,0,0,0,0,0,0,1
284,0,30,228,1,0,0,0,0,0,0,0,0,0
73,1,1,19,97,0,0,0,0,0,0,1,0,1
647,0,322,339,1,1,0,0,0,0,0,1,0,0
142,1,1,57,34,0,1,0,0,0,0,0,0,1
398,0,211,8,20,1,0,0,0,1,0,0,0,0
184,0,117,99,1,1,0,1,0,0,0,0,0,0
221,0,82,118,29,1,0,1,1,0,0,1,0,1
235,0,119,260,66,1,0,0,0,0,0,0,0,0
110,0,95,98,17,1,0,0,0,0,0,0,0,0
369,0,77,85,88,1,0,1,0,0,0,0,0,0
67,0,38,1,1,1,0,0,0,1,0,0,0,0
301,0,93,79,52,1,1,1,0,0,0,0,0,1
